Title,Description,Price,Rating,Reviews,URL
Dell 22 inch Full HD TN Panel Monitor (E2218HN),Panel Type: TN Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years,"₹6,599","1,333 Ratings",212 Reviews,https://www.flipkart.com/dell-22-inch-full-hd-tn-panel-monitor-e2218hn/p/itmfycr6jygvftb8?pid=MONFYCZ8DCMXHJDP&lid=LSTMONFYCZ8DCMXHJDP8ZTENR&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFYCZ8DCMXHJDP.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Samsung 23.5 inch Full HD LED Backlit IPS Panel Monitor (S24F352FHN),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 2502 nits; Response Time: 4 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 year Domestic on side Warranty on Manufacturing Defects Only.,"₹7,999",33 Ratings,7 Reviews,https://www.flipkart.com/samsung-23-5-inch-full-hd-led-backlit-ips-panel-monitor-s24f352fhn/p/itm1614833bd2bb2?pid=MONFZGZ2NSZJBKEY&lid=LSTMONFZGZ2NSZJBKEYNURECV&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFZGZ2NSZJBKEY.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Lenovo 18.5 inch HD TN Panel Monitor (D19-10),Panel Type: TN Panel; Screen Resolution Type: HD; VGA Support | HDMI; Brightness: 200 nits; Response Time: 5 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years Manufacturer Warranty,"₹4,749",339 Ratings,64 Reviews,https://www.flipkart.com/lenovo-18-5-inch-hd-tn-panel-monitor-d19-10/p/itm8c4d5fdbfc736?pid=MONFNV4KMXPNJYZH&lid=LSTMONFNV4KMXPNJYZHPJHMHL&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFNV4KMXPNJYZH.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 23.6 inch Full HD LED Backlit TN Panel Gaming Monitor (KG241QP),Panel Type: TN Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 300 nits; Response Time: 1 ms | Refresh Rate: 144 Hz; HDMI Ports - 2; 3 Years Warranty,"₹10,799",108 Ratings,14 Reviews,https://www.flipkart.com/acer-23-6-inch-full-hd-led-backlit-tn-panel-gaming-monitor-kg241qp/p/itm58d07871aa8e8?pid=MONFKF9SWQXPZWGC&lid=LSTMONFKF9SWQXPZWGCO3LKLT&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFKF9SWQXPZWGC.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 31.5 inch Full HD LED Backlit IPS Panel Monitor (32MN58HM),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Inbuilt Speaker; Brightness: 250 nits; Anti-Glare Screen; Response Time: 8 ms | Refresh Rate: 75 Hz; HDMI Ports - 2; 3 Years Onsite Warranty,"₹13,999",95 Ratings,24 Reviews,https://www.flipkart.com/lg-31-5-inch-full-hd-led-backlit-ips-panel-monitor-32mn58hm/p/itm25044c5194104?pid=MONESC66NCCPFCX4&lid=LSTMONESC66NCCPFCX4A7FCQ5&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONESC66NCCPFCX4.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
Acer 21.5 inch Full HD IPS Panel Monitor (B227Q),Panel Type: IPS Panel; Screen Resolution Type: Full HD; Brightness: 250 nits; Response Time: 4 ms; 3 Years Warranty,"₹10,499",266 Ratings,82 Reviews,https://www.flipkart.com/acer-21-5-inch-full-hd-ips-panel-monitor-b227q/p/itmf8syfqbbug9zv?pid=MONF8SYFP38HD3WX&lid=LSTMONF8SYFP38HD3WX8VC8HL&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONF8SYFP38HD3WX.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
Dell 24 inch Full HD LED Backlit IPS Panel Monitor (E2418HN),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 8 ms; HDMI Ports - 3; 3-Year Limited Hardware Warranty,"₹7,999",223 Ratings,35 Reviews,https://www.flipkart.com/dell-24-inch-full-hd-led-backlit-ips-panel-monitor-e2418hn/p/itmf3777dc8fhqzp?pid=MONF372RZGRKWTNQ&lid=LSTMONF372RZGRKWTNQSGP6KV&marketplace=FLIPKART&srno=s_2_27&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONF372RZGRKWTNQ.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
Acer 23.8 inch Full HD LED Backlit IPS Panel Monitor (RT240Y),Panel Type: IPS Panel; Screen Resolution Type: Full HD; Brightness: 250 nits; Response Time: 4 ms; HDMI Ports - 1; 3 Years Warranty,"₹8,799",33 Ratings,8 Reviews,https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-ips-panel-monitor-rt240y/p/itm2a89c9e62ca3b?pid=MONFN5NGTCUXFPMJ&lid=LSTMONFN5NGTCUXFPMJN1AAAK&marketplace=FLIPKART&srno=s_2_28&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONFN5NGTCUXFPMJ.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
Dell 22 inch Full HD Monitor (P2217),Screen Resolution Type: Full HD; Response Time: 5 ms; 1 Year Warranty,"₹6,999",47 Ratings,6 Reviews,https://www.flipkart.com/dell-22-inch-full-hd-monitor-p2217/p/itm87c57227719ed?pid=MONFUZTTXFXPHXAC&lid=LSTMONFUZTTXFXPHXAC8SYO36&marketplace=FLIPKART&srno=s_2_29&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONFUZTTXFXPHXAC.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
Lenovo 21.5 inch Full HD VA Panel Monitor (L22e-20),Panel Type: VA Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years Warranty,"₹6,999",172 Ratings,32 Reviews,https://www.flipkart.com/lenovo-21-5-inch-full-hd-va-panel-monitor-l22e-20/p/itmab509b83539e6?pid=MONFMFY4GTGYYFQ7&lid=LSTMONFMFY4GTGYYFQ7PV07WC&marketplace=FLIPKART&srno=s_2_30&otracker=search&fm=organic&iid=7af956ea-29ac-4af6-a733-90e0e5e39341.MONFMFY4GTGYYFQ7.SEARCH&ssid=unq24cjwk00000001604940579213&qH=08b5411f848a2581
